,number,name_en,name_en_lowercase,dex_en,name_de,name_de_lowercase,dex_de,name_fr,name_fr_lowercase,dex_fr,name_it,name_it_lowercase,dex_it,name_es,name_es_lowercase,dex_es,catchrate,atk,def,hp,spd,type1,type2,legendary,mythical
90,90,Shellder,shellder,"Its hard shell repels any kind of attack. It is vulnerable only when its shell is open.",Muschas,muschas,"Eine harte Schale schützt dieses Pokémon. Nur wenn es diese öffnet, wird es verwundbar.",Kokiyas,kokiyas,"Sa coquille est si résistante qu’elle repousse toutes les attaques. En revanche, il est vulnérable quand celle-ci s’ouvre.",Shellder,shellder,"La sua conchiglia dura respinge ogni tipo di attacco. È vulnerabile solo quando apre le valve.",Shellder,shellder,"La concha lo protege de cualquier tipo de ataque. Solo es vulnerable cuando se abre.",190,270,285,230,240,Water,,0,0
91,91,Cloyster,cloyster,"Once it slams its shell shut, it is impossible to open, even by those with superior strength.",Austos,austos,"Ist seine Schale erst geschlossen, ist es selbst mit viel Kraft nicht mehr möglich, diese zu öffnen.",Crustabri,crustabri,"Quand il referme sa coquille, il est impossible de la rouvrir, même avec une force hors du commun.",Cloyster,cloyster,"Quando richiude il guscio nessuno può aprirlo, neppure chi è dotato di una forza straordinaria.",Cloyster,cloyster,"Una vez que ha cerrado la concha, es imposible abrirla, independientemente de la fuerza que se ejerza.",60,340,385,270,300,Water,Ice,0,0
92,92,Gastly,gastly,"With its gas-like body, it can sneak into any place it desires. However, it can be blown away by wind.",Nebulak,nebulak,"Aufgrund seines an Gas erinnernden Körpers kommt es an jeden Ort. Es kann jedoch vom Wind davongeweht werden.",Fantominus,fantominus,"Son corps gazéiforme lui permet de se glisser n’importe où, mais au moindre coup de vent, il s’envole.",Gastly,gastly,"Il suo corpo gassoso può infilarsi ovunque, ma un colpo di vento lo può spazzare via.",Gastly,gastly,"Con su cuerpo gaseoso puede colarse por donde quiera, aunque con un golpe de viento sale despedido.",190,295,225,230,320,Ghost,Poison,0,0
93,93,Haunter,haunter,"If you get the feeling of being watched in darkness when nobody is around, Haunter is there.",Alpollo,alpollo,"Falls du im Dunkeln das Gefühl hast, beobachtet zu werden, und niemand ist zu sehen, ist es bestimmt Alpollo.",Spectrum,spectrum,"On dit que lorsque quelqu’un a l’impression d’être surveillé dans le noir, c’est sûrement qu’un Spectrum se trouve dans les parages.",Haunter,haunter,"Se da soli, al buio, si ha l’impressione di essere osservati da qualcuno, si tratta di Haunter.",Haunter,haunter,"Cuando se tiene la sensación de ser observado en la oscuridad sin que haya nadie alrededor, seguro que es porque un Haunter anda cerca.",90,325,260,260,350,Ghost,Poison,0,0
94,94,Gengar,gengar,"It is said to emerge from darkness to steal the lives of those who become lost in mountains.",Gengar,gengar,"Man sagt, es sei aus Dunkelheit entstanden, um denjenigen, die sich in den Bergen verirrt haben, das Leben zu rauben.",Ectoplasma,ectoplasma,"On dit qu’Ectoplasma surgit parfois des ténèbres pour prendre la vie des personnes égarées en montagne.",Gengar,gengar,"Si dice che emerga dall’oscurità per sottrarre la vita di chi si è perso tra le montagne.",Gengar,gengar,"Dicen que sale de la oscuridad para robarles el alma a los que se pierden por las montañas.",45,355,295,290,380,Ghost,Poison,0,0
95,95,Onix,onix,"It rapidly bores through the ground at 50 mph by squirming and twisting its massive, rugged body.",Onix,onix,"Es bohrt sich mit 80 km/h durch das Erdreich, indem es seinen massiven, rauen Körper dreht und windet.",Onix,onix,"Il creuse dans le sol à une vitesse de 80 km/h en contorsionnant son immense corps de pierre.",Onix,onix,"Scava nel terreno a una velocità di 80 km/h contorcendo e agitando il corpo grande e possente.",Onix,onix,"Perfora el suelo a una velocidad de 80 km/h girando y retorciendo su robusto y enorme cuerpo.",45,235,365,240,300,Rock,Ground,0,0
96,96,Drowzee,drowzee,"If you sleep by it all the time, it will sometimes show you dreams it had eaten in the past.",Traumato,traumato,"Wenn man immer in der Nähe eines Traumato schläft, zeigt es einem nachts manchmal Träume, die es vor langer Zeit verspeist hat.",Soporifik,soporifik,"Si vous dormez tout le temps près de lui, il partagera parfois avec vous les rêves qu’il a dévorés par le passé.",Drowzee,drowzee,"Se si dorme sempre vicino a un Drowzee, può capitare di sognare uno dei sogni che questo Pokémon ha mangiato in passato.",Drowzee,drowzee,"Si se duerme siempre en compañía de un Pokémon de esta especie, puede mostrar sueños que haya ingerido con anterioridad.",190,251,295,290,244,Psychic,,0,0
97,97,Hypno,hypno,"Avoid eye contact if you come across one. It will try to put you to sleep by using its pendulum.",Hypno,hypno,"Läuft man einem Hypno über den Weg, sollte man wegsehen, da es andere mit dem Pendel in seiner Hand hypnotisieren kann.",Hypnomade,hypnomade,"Évitez son regard quand vous en croisez un, ou il pourrait essayer de vous hypnotiser avec son pendule.",Hypno,hypno,"Quando se ne incontra uno, è meglio distogliere lo sguardo, altrimenti si rischia di essere ipnotizzati dal suo pendolo.",Hypno,hypno,"Conviene evitar el contacto visual en caso de encontrarse con este Pokémon, ya que puede hipnotizar con su péndulo.",75,306,345,340,294,Psychic,,0,0
98,98,Krabby,krabby,"If it senses danger approaching, it cloaks itself with bubbles from its mouth so it will look bigger.",Krabby,krabby,"Wittert es Gefahr, hüllt es sich in Blasen aus seinem Maul, um größer zu erscheinen.",Krabby,krabby,"S’il se sent menacé, il se cache derrière les bulles émises par sa bouche pour paraître plus gros.",Krabby,krabby,"Se si sente in pericolo, emette bolle dalla bocca e se ne circonda per sembrare più grande.",Krabby,krabby,"Ante el peligro, se camufla con las burbujas que desprende por la boca para parecer más grande.",225,290,275,230,260,Water,,0,0
99,99,Kingler,kingler,"Its oversized claw is very powerful, but when it’s not in battle, the claw just gets in the way.",Kingler,kingler,"Seine Riesenschere ist sehr stark, aber wenn es nicht kämpft, kommt sie ihm häufig in die Quere.",Krabboss,krabboss,"Sa pince gigantesque possède une puissance destructrice phénoménale, mais hors combat, son poids devient un handicap.",Kingler,kingler,"La sua chela più grande ha una potenza distruttiva fenomenale, ma fuori dalla lotta gli è d’impiccio per via del peso.",Kingler,kingler,"Su gran pinza posee una potencia devastadora, pero su peso excesivo la convierte en un estorbo fuera del terreno de combate.",60,340,325,280,310,Water,,0,0
100,100,Voltorb,voltorb,"It is said to camouflage itself as a Poké Ball. It will self-destruct with very little stimulus.",Voltobal,voltobal,"Man sagt, es tarne sich als Pokéball, um sich zu schützen. Allerdings zerstört es sich schon bei der kleinsten äußeren Einwirkung selbst.",Voltorbe,voltorbe,"On dit qu’il se déguise en Poké Ball. Il s’autodétruit à la moindre stimulation.",Voltorb,voltorb,"Si dice che abbia un aspetto simile a una Poké Ball per passare inosservato. Tende ad autodistruggersi al minimo stimolo.",Voltorb,voltorb,"Se dice que se camufla como una Poké Ball. Al más mínimo estímulo se autodestruirá.",190,245,265,250,360,Electric,,0,0
101,101,Electrode,electrode,"Stores electrical energy inside its body. Even the slightest shock could trigger a huge explosion.",Lektrobal,lektrobal,"Es speichert elektrische Energie in seinem Körper. Schon die geringste Erschütterung lässt es explodieren.",Électrode,électrode,"Il stocke de l’énergie électrique dans son corps, ce qui le rend instable et explosif.",Electrode,electrode,"L’energia elettrica accumulata nel suo corpo può provocare un’esplosione al minimo urto.",Electrode,electrode,"Almacena tal cantidad de energía eléctrica en su cuerpo que el más leve impacto puede provocar una gran explosión.",60,290,310,290,460,Electric,,0,0
102,102,Exeggcute,exeggcute,"These Pokémon get nervous when they’re not in a group of six. The minute even one member of the group goes missing, Exeggcute become cowardly.",Owei,owei,"Es muss immer aus sechs Mitgliedern bestehen, sonst herrscht Unruhe. Fehlt auch nur eines, steigt bei den anderen die Bereitschaft zur Flucht.",Noeunoeuf,noeunoeuf,"Il a besoin d’être constitué de ses six membres pour rester calme. Sitôt qu’il en manque un, il lui prend soudainement l’envie de fuir.",Exeggcute,exeggcute,"Se non sono presenti tutti e sei gli individui che lo compongono, non è tranquillo. Appena ne sparisce uno si prepara alla fuga.",Exeggcute,exeggcute,"Necesita contar con la totalidad de sus seis miembros para mantener la calma. Si desaparece uno siquiera, le entran ganas de salir huyendo.",90,260,285,290,240,Grass,Psychic,0,0
103,103,Exeggutor,exeggutor,"When they work together, Exeggutor’s three heads can put out powerful psychic energy. Cloudy days make this Pokémon sluggish.",Kokowei,kokowei,"Seine drei Köpfe setzen mächtige Psycho-Kräfte frei, wenn sie als Einheit agieren. Zieht sich der Himmel zu, bewegt es sich nur noch schwerfällig.",Noadkoko,noadkoko,"Les attaques psychiques lancées par ses trois têtes à l’unisson sont très puissantes. Par temps nuageux, ses mouvements sont plus lents.",Exeggutor,exeggutor,"I poteri psichici che le sue tre teste scatenano all’unisono sono travolgenti. Quando il cielo si rannuvola, i suoi movimenti si fanno lenti.",Exeggutor,exeggutor,"Puede lanzar ataques psíquicos de gran potencia si sus tres cabezas se ponen de acuerdo. Cuando se nubla el cielo, sus movimientos se ralentizan.",45,380,320,360,270,Grass,Psychic,0,0
104,104,Cubone,cubone,"This Pokémon wears the skull of its deceased mother. Sometimes Cubone’s dreams make it cry, but each tear Cubone sheds makes it stronger.",Tragosso,tragosso,"Es trägt den Schädel seiner verstorbenen Mutter. Manchmal weint Tragosso, während es träumt, doch jede vergossene Träne macht es stärker.",Osselait,osselait,"Il porte sur sa tête le crâne de sa défunte mère. Il lui arrive de rêver d’elle et de pleurer, mais chaque larme qu’il verse le rend plus fort.",Cubone,cubone,"Indossa il teschio della madre defunta. A volte capita che pianga vedendola in sogno, ma a ogni lacrima versata diventa più forte.",Cubone,cubone,"Lleva puesto el cráneo de su difunta madre. A veces llora en sueños, pero cada lágrima vertida le hace más fuerte.",190,250,305,270,230,Ground,,0,0
105,105,Marowak,marowak,"When this Pokémon evolved, the skull of its mother fused to it. Marowak’s temperament also turned vicious at the same time.",Knogga,knogga,"Durch die Entwicklung wurde der Schädel seiner Mutter, den es stets trug, zu einem Teil von ihm und es bekam einen aggressiven Charakter.",Ossatueur,ossatueur,"En évoluant, il est devenu violent, et le crâne de sa mère qu’il portait a fusionné avec sa tête.",Marowak,marowak,"Evolvendosi è diventato tutt’uno con il teschio della madre che prima indossava e ha acquisito un temperamento violento.",Marowak,marowak,"Al evolucionar, se ha fusionado con el cráneo de su madre y, además, ha adquirido un carácter agresivo.",75,290,350,290,250,Ground,,0,0
106,106,Hitmonlee,hitmonlee,"The legs freely contract and stretch. The stretchy legs allow it to hit a distant foe with a rising kick.",Kicklee,kicklee,"Es kann seine Beine nach Belieben ausfahren und einziehen und so auch entfernte Gegner treffen.",Kicklee,kicklee,"Kicklee peut rétracter et étendre ses jambes à sa guise. La formidable allonge dont il dispose lui permet de frapper des adversaires éloignés.",Hitmonlee,hitmonlee,"Può accorciare o allungare le gambe a piacere. In questo modo riesce a colpire con i calci anche gli avversari distanti.",Hitmonlee,hitmonlee,"Encoge y estira las piernas a su antojo. De hecho, hasta puede propinar una patada a un rival que se encuentre lejos.",45,315,323,270,334,Fighting,,0,0
107,107,Hitmonchan,hitmonchan,"Its punches slice the air. However, it seems to need a short break after fighting for three minutes.",Nockchan,nockchan,"Seine Fäuste zerschneiden die Luft. Es muss jedoch alle drei Minuten eine kurze Pause einlegen.",Tygnon,tygnon,"Ses poings fendent l’air, mais il se fatigue au bout de trois minutes à enchaîner les coups.",Hitmonchan,hitmonchan,"Fende l’aria con i suoi pugni. Tuttavia, dopo tre minuti di lotta deve riprendere fiato.",Hitmonchan,hitmonchan,"Sus puñetazos son capaces incluso de cortar el aire, aunque parece necesitar un descanso tras estar luchando durante 3 min.",45,300,349,270,312,Fighting,,0,0
108,108,Lickitung,lickitung,"Bug Pokémon are Lickitung’s main food source. This Pokémon paralyzes its prey with a lick from its long tongue, then swallows the prey whole.",Schlurp,schlurp,"Es ernährt sich vorwiegend von Käfer-Pokémon. Hat es diese mit der langen Zunge abgeschleckt und dadurch gelähmt, verschlingt es sie im Nu.",Excelangue,excelangue,"Excelangue se nourrit essentiellement de Pokémon Insecte. Il lèche ses ennemis avec sa longue langue pour les paralyser, puis les avale tout rond.",Lickitung,lickitung,"Si nutre principalmente di Pokémon Coleottero. Paralizza le prede leccandole con la lunga lingua e le inghiotte in un boccone.",Lickitung,lickitung,"Se nutre principalmente de Pokémon insecto, a los que paraliza primero lamiéndolos con su larga lengua y luego engulle de un bocado.",45,275,310,350,220,Normal,,0,0
109,109,Koffing,koffing,"It adores polluted air. Some claim that Koffing used to be more plentiful in the Galar region than they are now.",Smogon,smogon,"Angeblich waren diese nach verpesteter Luft gierenden Pokémon früher weitaus häufiger in der Galar-Region anzutreffen als heute.",Smogo,smogo,"On raconte qu’il y a longtemps, ces Pokémon amateurs d’air pollué étaient beaucoup plus nombreux à Galar.",Koffing,koffing,"È ghiotto di aria inquinata. Si dice che in passato a Galar ci fossero molti più Koffing rispetto a ora.",Koffing,koffing,"Se nutre de aire contaminado. Al parecer, antaño eran mucho más numerosos en Galar.",190,285,300,250,230,Poison,,0,0
110,110,Weezing,weezing,"It can’t suck in air quite as well as a Galarian Weezing, but the toxins it creates are more potent than those of its counterpart.",Smogmog,smogmog,"Es kann zwar nicht so viel Luft einsaugen wie die Smogmog aus Galar, dafür sind aber die Toxine, die es produziert, umso stärker.",Smogogo,smogogo,"Il ne peut pas aspirer autant d’air que le Smogogo de Galar, mais le poison qu’il produit est plus puissant.",Weezing,weezing,"La sua capacità di aspirare l’aria è leggermente inferiore rispetto al Weezing di Galar, ma è in grado di produrre tossine molto potenti.",Weezing,weezing,"Posee una capacidad de succión inferior a la del Weezing de Galar, pero las toxinas que genera son más potentes.",60,335,350,300,280,Poison,,0,0
111,111,Rhyhorn,rhyhorn,"It can remember only one thing at a time. Once it starts rushing, it forgets why it started.",Rihorn,rihorn,"Es kann sich immer nur eine Sache merken. Sobald es losgestürmt ist, vergisst es augenblicklich den Auslöser dafür.",Rhinocorne,rhinocorne,"Il ne peut se souvenir que d’une chose à la fois. S’il se met à courir, il en oublie tout de suite la raison.",Rhyhorn,rhyhorn,"Non è in grado di ricordare più di una cosa alla volta. Quando parte alla carica ne dimentica subito il motivo.",Rhyhorn,rhyhorn,"La cabeza no le da para retener más de una cosa. Si se pone a correr, se le olvida al instante por qué empezó a hacerlo.",120,275,285,330,210,Ground,Rock,0,0
112,112,Rhydon,rhydon,"Protected by an armor-like hide, it is capable of living in molten lava of 3,600 degrees Fahrenheit.",Rizeros,rizeros,"Sein ganzer Körper ist von einer panzerähnlichen Haut geschützt. Es kann sogar in bis zu 2 000 ºC heißer Lava leben.",Rhinoféros,rhinoféros,"Son épiderme est si épais qu’il lui permet même de survivre dans du magma d’une température de 2 000 °C.",Rhydon,rhydon,"La sua pelle, simile a un’armatura, lo protegge consentendogli di vivere nel magma a 2.000 ºC.",Rhydon,rhydon,"La piel le sirve de escudo protector. Puede vivir en lava líquida a 2000 °C.",60,335,325,380,240,Ground,Rock,0,0
113,113,Chansey,chansey,"This species was once very slow. To protect their eggs from other creatures, these Pokémon became able to flee quickly.",Chaneira,chaneira,"Dieses ursprünglich eher träge Pokémon hat gelernt, schnell davonzulaufen, um seine Eier vor Räubern schützen zu können.",Leveinard,leveinard,"Ce Pokémon lent à l’origine a appris à fuir plus vite pour protéger ses œufs des voleurs.",Chansey,chansey,"Sarebbe lento per natura, ma è diventato svelto nella fuga per difendersi da chi vuole rubare il suo uovo.",Chansey,chansey,"Este Pokémon solía ser lento de reflejos, pero ha desarrollado una gran velocidad para evitar que le roben sus preciados huevos.",30,200,270,670,260,Normal,,0,0
114,114,Tangela,tangela,"The vines of a Tangela have a distinct scent. In some parts of Galar, Tangela vines are used as herbs.",Tangela,tangela,"Seine Ranken verströmen einen eigentümlichen Duft, weshalb sie in bestimmten Gegenden von Galar als aromatische Kräuter verwendet werden.",Saquedeneu,saquedeneu,"Ses lianes ont une odeur particulière. Elles servent d’herbes aromatiques dans une certaine zone de Galar.",Tangela,tangela,"Le sue liane emanano un odore peculiare. In alcune zone di Galar vengono usate come erbe aromatiche.",Tangela,tangela,"Sus lianas despiden una fragancia peculiar. En cierta zona de Galar se usan como aderezo.",45,315,315,300,280,Grass,,0,0
115,115,Kangaskhan,kangaskhan,"There are records of a lost human child being raised by a childless Kangaskhan.",Kangama,kangama,"Es liegen Berichte vor, laut denen Kangama ohne eigenen Nachwuchs stattdessen Menschenkinder in Not aufgezogen haben.",Kangourex,kangourex,"Certains documents certifient que les Kangourex sans progéniture élevaient des enfants humains en détresse.",Kangaskhan,kangaskhan,"Alcuni documenti parlano di Kangaskhan senza cuccioli che hanno allevato bambini umani dispersi.",Kangaskhan,kangaskhan,"Se han documentado casos de Kangaskhan sin crías que han adoptado bebés humanos cuyos padres habían sido víctimas de accidentes.",45,295,320,380,340,Normal,,0,0
116,116,Horsea,horsea,"They swim with dance-like motions and cause whirlpools to form. Horsea compete to see which of them can generate the biggest whirlpool.",Seeper,seeper,"Es schwimmt elegant wie ein Tänzer und erzeugt dabei Wasserstrudel. Mit Artgenossen wetteifert es darum, wer den größten Strudel formen kann.",Hypotrempe,hypotrempe,"Hypotrempe crée des tourbillons en dansant sous l’eau. Il s’amuse à comparer la taille des remous qu’il fait avec ceux de ses congénères.",Horsea,horsea,"Nuota come se danzasse nell’acqua creando mulinelli. Gioca con i suoi simili facendo a gara a chi ne crea di più grandi.",Horsea,horsea,"Nada con la gracilidad de un bailarín, creando remolinos a su paso, y juega con sus congéneres a ver quién forma el más grande.",225,270,255,230,280,Water,,0,0
117,117,Seadra,seadra,"Seadra’s mouth is slender, but its suction power is strong. In an instant, Seadra can suck in food that’s larger than the opening of its mouth.",Seemon,seemon,"Selbst Beute, die größer als sein kleiner Mund ist, kann es dank dessen starker Saugkraft im Nu einsaugen und verspeisen.",Hypocéan,hypocéan,"Sa puissance de succion est si forte qu’il peut aspirer en un instant ses proies pour les manger, même si elles sont plus grosses que sa bouche.",Seadra,seadra,"Nonostante la misura ridotta, la sua bocca ha un potere aspirante tale da permettergli di risucchiare e inghiottire grosse prede all’istante.",Seadra,seadra,"Su estrecho morro posee tal fuerza de succión que es capaz de aspirar presas de mayor tamaño y engullirlas enteras.",75,320,300,280,330,Water,,0,0
118,118,Goldeen,goldeen,"Its dorsal and pectoral fins are strongly developed like muscles. It can swim at a speed of five knots.",Goldini,goldini,"Seine Rücken- und Brustflossen sind muskelähnlich entwickelt. Es erreicht beim Schwimmen eine Geschwindigkeit von bis zu fünf Knoten.",Poissirène,poissirène,"Ses nageoires dorsales et pectorales sont très développées. Elles lui permettent de nager à une vitesse de cinq nœuds.",Goldeen,goldeen,"Le pinne dorsali e pettorali sono sviluppate come potenti muscoli. Può raggiungere la velocità di 5 nodi.",Goldeen,goldeen,"La aleta dorsal y las aletas pectorales están tan desarrolladas que actúan como músculos. Puede nadar a una velocidad de cinco nudos.",225,262,270,260,286,Water,,0,0
119,119,Seaking,seaking,"Using its horn, it bores holes in riverbed boulders, making nests to prevent its eggs from washing away.",Golking,golking,"Es laicht in Löchern, die es mit seinem Horn in Felsen des Flussbettes gebohrt hat, damit seine Eier nicht vom Wasser fortgespült werden.",Poissoroy,poissoroy,"S’il fait des trous dans les rochers avec sa corne pour bâtir son nid, c’est pour éviter que ses Œufs ne soient emportés par les flots.",Seaking,seaking,"Perfora con il suo corno le rocce sul letto dei fiumi, costruendo tane che proteggono le Uova dalla corrente.",Seaking,seaking,"Perfora las piedras del lecho del río con su cuerno para hacer un nido y que la corriente no arrastre sus huevos.",60,317,305,330,296,Water,,0,0
120,120,Staryu,staryu,"Fish Pokémon nibble at it, but Staryu isn’t bothered. Its body regenerates quickly, even if part of it is completely torn off.",Sterndu,sterndu,"Ihm macht es nichts aus, von Fisch-Pokémon angeknabbert zu werden, da sich sein Körper bei Verletzungen im Nu regeneriert.",Stari,stari,"Il ne se soucie guère des Pokémon poissons qui viennent le grignoter, car même si son corps est déchiqueté, il se régénère aussitôt.",Staryu,staryu,"Viene mangiucchiato dai Pokémon acquatici, ma non ci dà peso, perché le parti danneggiate del suo corpo si rigenerano subito.",Staryu,staryu,"No le importa que le mordisqueen el cuerpo los Pokémon pez, ya que las partes desgarradas se regeneran casi al instante.",225,275,270,230,330,Water,,0,0
121,121,Starmie,starmie,"Starmie swims by spinning its body at high speed. As this Pokémon cruises through the ocean, it absorbs tiny plankton.",Starmie,starmie,"Starmie bewegt sich im Wasser fort, indem es seinen Körper mit hoher Geschwindigkeit rotieren lässt. Unterwegs absorbiert es winziges Plankton.",Staross,staross,"Il aspire du plancton quand il nage dans la mer en faisant tourner son corps à grande vitesse.",Starmie,starmie,"Risucchia il plancton mentre nuota nel mare facendo ruotare il suo corpo ad alta velocità.",Starmie,starmie,"Starmie absorbe plancton al tiempo que nada por el mar haciendo girar su cuerpo a gran velocidad.",60,335,330,290,390,Water,Psychic,0,0
122,122,Mr.Mime,mr.mime,"It’s known for its top-notch pantomime skills. It protects itself from all sorts of attacks by emitting auras from its fingers to create walls.",Pantimos,pantimos,"Es ist für die Pantomime geboren. Zur Abwehr unterschiedlichster Angriffe erzeugt es mit einem Kraftfeld aus seinen Fingerspitzen Schutzwände.",M.Mime,m.mime,"Son talent pour le mime est indéniable. Il émet des ondes du bout des doigts pour créer un mur qui le protège de nombreuses attaques.",Mr.Mime,mr.mime,"È un ottimo mimo. Con le onde che emette dalle dita può creare una barriera che lo protegge da molti attacchi.",Mr.Mime,mr.mime,"Domina con maestría la pantomima. La barrera generada con las ondas que emite por los dedos le permite protegerse de numerosos ataques.",45,305,345,250,340,Psychic,Fairy,0,0
123,123,Scyther,scyther,"If you come across an area in a forest where a lot of the trees have been cut down, what you’ve found is a Scyther’s territory.",Sichlor,sichlor,"Entdeckt man im Wald ein Gebiet, in dem besonders viele Bäume gefällt wurden, befindet man sich im Revier eines Sichlors.",Insécateur,insécateur,"Si l’on voit un grand nombre d’arbres abattus au même endroit dans une forêt, cela signifie que l’on se trouve sur le territoire d’un Insécateur.",Scyther,scyther,"Se ci si imbatte in una zona della foresta con molti alberi abbattuti, si tratta del territorio di uno Scyther.",Scyther,scyther,"El territorio de un Scyther se identifica fácilmente por el gran número de árboles talados de forma indiscriminada en una misma zona del bosque.",45,325,320,310,370,Bug,Flying,0,0
124,124,Jynx,jynx,"The Jynx of Galar often have beautiful and delicate voices. Some of these Pokémon have even gathered a fan base.",Rossana,rossana,"Viele Rossana in Galar verfügen über solch eine schöne und zarte Stimme, dass sie sogar eine Fangemeinde haben.",Lippoutou,lippoutou,"Les Lippoutou vivant à Galar sont souvent dotés d’une belle voix cristalline, ce qui leur vaut d’attirer des fans.",Jynx,jynx,"La maggior parte dei Jynx di Galar hanno una voce talmente incantevole e delicata da avere addirittura dei fan.",Jynx,jynx,"Los ejemplares que habitan en Galar poseen una voz tan delicada y hermosa que incluso cuentan con su propio grupo de admiradores.",45,325,290,300,350,Ice,Psychic,0,0
125,125,Electabuzz,electabuzz,"With the coming of a storm, many of these Pokémon will gather under tall trees and sit there waiting for lightning to strike.",Elektek,elektek,"Bei Gewittern versammeln sich Elektek in der Nähe von hohen Bäumen, wo sie regungslos auf Blitzeinschläge warten.",Élektek,élektek,"Quand un orage approche, ils se réunissent tous autour d’un grand arbre et attendent patiemment que la foudre s’abatte.",Electabuzz,electabuzz,"All’arrivo di un temporale questi Pokémon si raggruppano intorno agli alberi alti, aspettando immobili che cada un fulmine.",Electabuzz,electabuzz,"Al desatarse una tormenta, se reúnen en torno a los árboles de mayor altura y esperan inmóviles a que caiga algún rayo.",45,338,302,300,370,Electric,,0,0
126,126,Magmar,magmar,"These Pokémon’s bodies are constantly burning. Magmar are feared as one of the causes behind fires.",Magmar,magmar,"Sein Körper ist ständig in Flammen gehüllt, wodurch es als eine Ursache von Bränden gefürchtet wird.",Magmar,magmar,"Tout son corps est en combustion permanente. Il est craint, car on dit qu’il cause des incendies.",Magmar,magmar,"Il suo corpo è perennemente in fiamme. Viene considerato una delle cause degli incendi, e per questo è temuto.",Magmar,magmar,"Un Pokémon cuyo cuerpo está siempre envuelto en llamas. Es temido porque se lo considera un causante potencial de incendios.",45,355,302,300,346,Fire,,0,0
127,127,Pinsir,pinsir,"This Pokémon clamps its pincers down on its prey and then either splits the prey in half or flings it away.",Pinsir,pinsir,"Pinsir nimmt Beute mit seinen Hörnern in die Zange, um sie anschließend entzweizureißen oder mit Wucht fortzuschleudern.",Scarabrute,scarabrute,"Une fois sa proie enserrée entre ses cornes, deux choix s’offrent à lui : la couper en deux ou la projeter au loin de toutes ses forces.",Pinsir,pinsir,"Afferra le prede con le corna e le trancia in due, oppure le lancia via con violenza.",Pinsir,pinsir,"Usa la cornamenta a modo de pinza para atrapar a sus presas. Acto seguido, las parte por la mitad o las arroja lejos.",45,340,330,300,330,Bug,,0,0
128,128,Tauros,tauros,"The Tauros of the Galar region are volatile in nature, and they won’t allow people to ride on their backs.",Tauros,tauros,"Die Tauros in Galar haben ein ungestümes Temperament und gestatten es Menschen nicht, auf ihrem Rücken zu reiten.",Tauros,tauros,"Les Tauros vivant à Galar ont un tempérament violent et ne tolèrent pas que les êtres humains montent sur leur dos.",Tauros,tauros,"I Tauros che vivono a Galar hanno un’indole violenta e non tollerano che gli esseri umani salgano loro in groppa.",Tauros,tauros,"Los Tauros que habitan en la región de Galar son de temperamento irascible y no permiten que los humanos monten en su lomo.",45,300,325,320,380,Normal,,0,0
129,129,Magikarp,magikarp,"This weak and pathetic Pokémon gets easily pushed along rivers when there are strong currents.",Karpador,karpador,"Dieses Pokémon ist so schwach und erbärmlich, dass es sich in Gewässern mit starker Strömung einfach vom Wasser treiben lässt.",Magicarpe,magicarpe,"Ce Pokémon est si faible que, dans les eaux à forts courants, il se contente de se laisser porter lamentablement.",Magikarp,magikarp,"Un Pokémon debole e patetico: non fa che lasciarsi trascinare dove lo porta la corrente.",Magikarp,magikarp,"Este Pokémon débil y patético se limita a dejarse llevar por la corriente cuando esta tiene fuerza.",255,185,235,210,320,Water,,0,0
130,130,Gyarados,gyarados,"Once it begins to rampage, a Gyarados will burn everything down, even in a harsh storm.",Garados,garados,"Wütet ein Garados, wird es alles niederbrennen. Dies geschieht selbst während eines Sturms.",Léviator,léviator,"Quand il se laisse emporter par la rage, même la plus violente des tempêtes ne peut l’empêcher de détruire tout ce qui l’entoure.",Gyarados,gyarados,"Quando va su tutte le furie, incenerisce ogni cosa, anche nel mezzo di un violento temporale.",Gyarados,gyarados,"Cuando monta en cólera, puede quemarlo todo, incluso en medio de la más violenta tormenta.",45,345,339,360,322,Water,Flying,0,0
131,131,Lapras,lapras,"Crossing icy seas is no issue for this cold-resistant Pokémon. Its smooth skin is a little cool to the touch.",Lapras,lapras,"Es kommt gut mit Kälte zurecht und kann auch in eisigen Meeren problemlos schwimmen. Seine Haut fühlt sich glatt und kühl an.",Lokhlass,lokhlass,"Il résiste bien aux très basses températures et peut nager dans des mers glaciales. Sa peau est lisse et légèrement froide au toucher.",Lapras,lapras,"Resiste molto bene al freddo e si trova a suo agio anche nei mari ghiacciati. La sua pelle è liscia e fresca.",Lapras,lapras,"Nada sin problema en aguas heladas gracias a la soberbia resistencia al frío que posee. Su tersa piel es ligeramente fría al tacto.",45,330,335,430,280,Water,Ice,0,0
132,132,Ditto,ditto,"When it encounters another Ditto, it will move faster than normal to duplicate that opponent exactly.",Ditto,ditto,"Trifft es auf ein anderes Ditto, bewegt es sich schneller als gewöhnlich, um es exakt nachzuahmen.",Métamorph,métamorph,"Quand il rencontre l’un de ses semblables, il s’agite avec plus de vivacité que d’habitude pour adopter exactement la même forme que lui.",Ditto,ditto,"Quando incontra un altro Ditto, si muove più velocemente del solito nel tentativo di assumere le sue sembianze.",Ditto,ditto,"Cuando se encuentra con otro Ditto, se mueve más rápido de lo normal para intentar adoptar su aspecto.",35,256,256,266,256,Normal,,0,0
